building_id,lat,lng,building_size_category,property_tag,neighborhood_type,monthly_usage_kwh,load_type,blackout_frequency,average_blackout_duration_hrs,is_theft_simulated,risk_score,anomaly_reason,expected_monthly_usage_kwh
B0180,6.439606,3.3914749,Medium,Residential,Dense Urban,169.28,Morning/Evening Peak,8,4,False,6.3,Usage is within normal expected range compared to peers.,143.95828
B0181,6.5897666,3.3932351,Medium,Residential,Dense Urban,143.21,Morning/Evening Peak,5,3,False,11.7,Usage is within normal expected range compared to peers.,143.95828
B0182,6.4965461,3.3877622,Medium,Residential,Dense Urban,168.4,Morning/Evening Peak,5,6,False,13.2,Usage is within normal expected range compared to peers.,143.95828
B0183,6.4450627,3.3760161,Medium,Residential,Dense Urban,157.45,Morning/Evening Peak,10,2,False,12.5,Usage is within normal expected range compared to peers.,143.95828
B0184,6.5911369,3.393669,Medium,Residential,Dense Urban,123.44,Morning/Evening Peak,10,5,False,7.0,Usage is within normal expected range compared to peers.,143.95828
B0185,6.445378,3.3759381,Medium,Residential,Dense Urban,152.97,Morning/Evening Peak,15,2,False,10.5,Usage is within normal expected range compared to peers.,143.95828
B0186,6.4356906,3.4211247,Medium,Residential,Dense Urban,174.48,Morning/Evening Peak,6,3,False,13.8,Usage is within normal expected range compared to peers.,143.95828
B0187,6.4448919,3.3758264,Medium,Residential,Dense Urban,160.39,Constant,6,5,False,5.5,Usage is within normal expected range compared to peers.,143.95828
B0188,6.4679981,3.3689784,Medium,Residential,Dense Urban,176.58,Constant,11,6,False,5.9,Usage is within normal expected range compared to peers.,143.95828
B0189,6.5917538,3.3940098,Medium,Residential,Dense Urban,178.81,Morning/Evening Peak,6,4,False,5.8,Usage is within normal expected range compared to peers.,143.95828
B0190,6.5926243,3.3947925,Medium,Residential,Dense Urban,141.36,Morning/Evening Peak,14,4,False,9.5,Usage is within normal expected range compared to peers.,143.95828
B0191,6.5912986,3.3927219,Medium,Residential,Dense Urban,152.53,Constant,14,2,False,6.0,Usage is within normal expected range compared to peers.,143.95828
B0192,6.4753414,3.3214157,Medium,Residential,Dense Urban,121.05,Morning/Evening Peak,13,2,False,11.0,Usage is within normal expected range compared to peers.,143.95828
B0193,6.4698364,3.363898,Medium,Residential,Dense Urban,179.84,Morning/Evening Peak,8,4,False,7.5,Usage is within normal expected range compared to peers.,143.95828
B0194,6.4329516,3.469252,Medium,Residential,Dense Urban,178.81,Constant,12,4,False,13.4,Usage is within normal expected range compared to peers.,143.95828
B0195,6.4936359,3.3857634,Medium,Residential,Dense Urban,122.6,Constant,7,6,False,9.6,Usage is within normal expected range compared to peers.,143.95828
B0196,6.4483773,3.3978316,Medium,Residential,Dense Urban,175.08,Morning/Evening Peak,9,4,False,7.4,Usage is within normal expected range compared to peers.,143.95828
B0197,6.4243203,3.3376326,Medium,Residential,Dense Urban,160.63,Morning/Evening Peak,10,4,False,12.0,Usage is within normal expected range compared to peers.,143.95828
B0198,6.4517241,3.3978982,Medium,Residential,Dense Urban,141.08,Morning/Evening Peak,9,4,False,14.5,Usage is within normal expected range compared to peers.,143.95828
B0199,6.5916241,3.3928733,Medium,Residential,Dense Urban,129.98,Constant,9,3,False,7.8,Usage is within normal expected range compared to peers.,143.95828
B0200,6.4791067,3.361886,Medium,Residential,Dense Urban,161.05,Constant,5,2,False,14.3,Usage is within normal expected range compared to peers.,143.95828
B0201,6.4364202,3.4163946,Medium,Residential,Dense Urban,16.31,Constant,11,3,True,93.9,Suspiciously low usage. More than 2 std devs below average (144.0 kWh) for Medium Residential buildings.,143.95828
B0202,6.4340705,3.4692521,Medium,Residential,Dense Urban,19.23,Constant,13,6,True,86.6,Suspiciously low usage. More than 2 std devs below average (144.0 kWh) for Medium Residential buildings.,143.95828
B0203,6.4956627,3.3866202,Medium,Residential,Dense Urban,162.93,Morning/Evening Peak,15,2,False,8.4,Usage is within normal expected range compared to peers.,143.95828
B0204,6.4956735,3.387405,Medium,Residential,Dense Urban,171.56,Erratic,6,3,False,26.7,Erratic load type is unusual for this property tag.,143.95828
B0205,6.4518015,3.3974941,Medium,Residential,Dense Urban,163.14,Erratic,15,3,False,28.1,Erratic load type is unusual for this property tag.,143.95828
B0206,6.4516266,3.3974405,Medium,Residential,Dense Urban,129.07,Morning/Evening Peak,8,4,False,6.3,Usage is within normal expected range compared to peers.,143.95828
B0207,6.424719,3.4515679,Medium,Residential,Dense Urban,168.85,Morning/Evening Peak,8,6,False,6.0,Usage is within normal expected range compared to peers.,143.95828
B0208,6.433696,3.4079273,Medium,Residential,Dense Urban,149.99,Morning/Evening Peak,8,5,False,5.4,Usage is within normal expected range compared to peers.,143.95828
B0209,6.449997,3.3964387,Medium,Residential,Dense Urban,125.92,Erratic,10,2,False,25.6,Erratic load type is unusual for this property tag.,143.95828
B0210,6.4358333,3.354727,Medium,Residential,Dense Urban,122.58,Morning/Evening Peak,6,6,False,7.8,Usage is within normal expected range compared to peers.,143.95828
B0211,6.4937121,3.3860064,Medium,Residential,Dense Urban,173.76,Morning/Evening Peak,13,3,False,13.9,Usage is within normal expected range compared to peers.,143.95828
B0212,6.4680008,3.3683023,Medium,Residential,Dense Urban,169.94,Morning/Evening Peak,11,5,False,12.6,Usage is within normal expected range compared to peers.,143.95828
B0213,6.4229956,3.410344,Medium,Residential,Dense Urban,171.6,Morning/Evening Peak,7,5,False,14.9,Usage is within normal expected range compared to peers.,143.95828
B0214,6.4245037,3.3383608,Medium,Residential,Dense Urban,31.0,Morning/Evening Peak,10,5,True,89.7,Suspiciously low usage. More than 2 std devs below average (144.0 kWh) for Medium Residential buildings.,143.95828
B0215,6.4533828,3.348319,Medium,Residential,Dense Urban,148.83,Morning/Evening Peak,13,6,False,10.1,Usage is within normal expected range compared to peers.,143.95828
B0216,6.4486176,3.398741,Medium,Residential,Dense Urban,149.47,Erratic,13,5,False,30.6,Erratic load type is unusual for this property tag.,143.95828
B0217,6.4764727,3.3694922,Medium,Residential,Dense Urban,126.57,Constant,15,4,False,12.5,Usage is within normal expected range compared to peers.,143.95828
B0218,6.4900419,3.3845919,Medium,Residential,Dense Urban,124.31,Morning/Evening Peak,8,3,False,5.8,Usage is within normal expected range compared to peers.,143.95828
B0219,6.4358054,3.4841919,Medium,Residential,Dense Urban,159.07,Morning/Evening Peak,12,2,False,8.8,Usage is within normal expected range compared to peers.,143.95828
B0220,6.5916133,3.3935774,Medium,Residential,Dense Urban,141.22,Erratic,8,6,False,29.8,Erratic load type is unusual for this property tag.,143.95828
B0221,6.4635999,3.303123,Medium,Residential,Dense Urban,137.21,Morning/Evening Peak,8,5,False,11.8,Usage is within normal expected range compared to peers.,143.95828
B0222,6.4335623,3.4206149,Medium,Residential,Dense Urban,176.96,Morning/Evening Peak,8,4,False,5.6,Usage is within normal expected range compared to peers.,143.95828
B0223,6.4389582,3.389939,Medium,Residential,Dense Urban,138.36,Morning/Evening Peak,7,4,False,14.9,Usage is within normal expected range compared to peers.,143.95828
B0224,6.450521,3.4058598,Medium,Residential,Dense Urban,140.54,Morning/Evening Peak,13,6,False,13.1,Usage is within normal expected range compared to peers.,143.95828
B0225,6.4512825,3.3945076,Medium,Residential,Dense Urban,176.87,Erratic,10,6,False,27.1,Erratic load type is unusual for this property tag.,143.95828
B0226,6.4382685,3.3902469,Medium,Residential,Dense Urban,149.83,Constant,9,5,False,13.0,Usage is within normal expected range compared to peers.,143.95828
B0227,6.444982,3.3758792,Medium,Residential,Dense Urban,130.13,Morning/Evening Peak,6,5,False,13.9,Usage is within normal expected range compared to peers.,143.95828
B0228,6.4252611,3.4266489,Medium,Residential,Dense Urban,122.72,Erratic,7,4,False,34.6,Erratic load type is unusual for this property tag.,143.95828
B0229,6.4508907,3.3980707,Medium,Residential,Dense Urban,142.34,Constant,9,5,False,5.5,Usage is within normal expected range compared to peers.,143.95828
B0230,6.4256175,3.3364479,Medium,Residential,Dense Urban,175.93,Morning/Evening Peak,12,4,False,5.6,Usage is within normal expected range compared to peers.,143.95828
B0231,6.4411312,3.3845685,Medium,Residential,Dense Urban,138.6,Constant,10,5,False,7.8,Usage is within normal expected range compared to peers.,143.95828
B0232,6.5923195,3.3929059,Medium,Residential,Dense Urban,131.75,Morning/Evening Peak,14,6,False,11.9,Usage is within normal expected range compared to peers.,143.95828
B0233,6.436893,3.3938733,Medium,Residential,Dense Urban,139.68,Morning/Evening Peak,6,3,False,6.9,Usage is within normal expected range compared to peers.,143.95828
B0234,6.4329726,3.4700502,Medium,Residential,Dense Urban,158.52,Morning/Evening Peak,13,5,False,8.3,Usage is within normal expected range compared to peers.,143.95828
B0235,6.5921434,3.3945883,Medium,Residential,Dense Urban,135.68,Constant,9,5,False,12.9,Usage is within normal expected range compared to peers.,143.95828
B0236,6.4338222,3.4696882,Medium,Residential,Dense Urban,130.44,Morning/Evening Peak,8,3,False,9.1,Usage is within normal expected range compared to peers.,143.95828
B0237,6.5719179,3.3353077,Medium,Residential,Dense Urban,129.6,Morning/Evening Peak,6,5,False,13.1,Usage is within normal expected range compared to peers.,143.95828
B0238,6.4545029,3.3554096,Medium,Residential,Dense Urban,141.39,Constant,9,3,False,12.5,Usage is within normal expected range compared to peers.,143.95828
B0239,6.4615192,3.3919502,Medium,Residential,Dense Urban,167.69,Constant,10,6,False,11.3,Usage is within normal expected range compared to peers.,143.95828
B0240,6.4465117,3.3977484,Medium,Residential,Dense Urban,171.49,Morning/Evening Peak,8,2,False,14.3,Usage is within normal expected range compared to peers.,143.95828
B0241,6.4645528,3.3022042,Medium,Residential,Dense Urban,120.66,Morning/Evening Peak,13,4,False,6.3,Usage is within normal expected range compared to peers.,143.95828
B0242,6.4351141,3.4081065,Medium,Residential,Dense Urban,139.76,Constant,8,4,False,5.4,Usage is within normal expected range compared to peers.,143.95828
B0243,6.4958368,3.3868997,Medium,Residential,Dense Urban,122.85,Morning/Evening Peak,12,6,False,10.1,Usage is within normal expected range compared to peers.,143.95828
B0244,6.4515776,3.3981211,Medium,Residential,Dense Urban,156.7,Morning/Evening Peak,5,6,False,5.4,Usage is within normal expected range compared to peers.,143.95828
B0245,6.4800191,3.3586451,Medium,Residential,Dense Urban,20.21,Morning/Evening Peak,10,3,True,91.2,Suspiciously low usage. More than 2 std devs below average (144.0 kWh) for Medium Residential buildings.,143.95828
B0246,6.5847752,3.3327574,Medium,Residential,Dense Urban,133.26,Constant,10,2,False,6.0,Usage is within normal expected range compared to peers.,143.95828
B0247,6.467894,3.3809889,Medium,Residential,Dense Urban,173.4,Constant,11,2,False,7.7,Usage is within normal expected range compared to peers.,143.95828
B0248,6.4514156,3.3972452,Medium,Residential,Dense Urban,130.75,Morning/Evening Peak,9,3,False,11.9,Usage is within normal expected range compared to peers.,143.95828
B0249,6.4901153,3.3857744,Medium,Residential,Dense Urban,128.86,Morning/Evening Peak,6,2,False,10.2,Usage is within normal expected range compared to peers.,143.95828
