building_id,lat,lng,building_size_category,property_tag,neighborhood_type,monthly_usage_kwh,load_type,blackout_frequency,average_blackout_duration_hrs,is_theft_simulated,expected_monthly_usage_kwh,risk_score,anomaly_reason
B0174,6.4731462,3.3817116,Small,Industrial,Suburb,232.57,Constant Heavy,2,5,False,255.02166666666668,6.2,Usage is within normal expected range compared to peers.
B0175,6.4438706,3.3766806,Huge,Residential,Commercial District,1130.05,Morning/Evening Peak,1,3,False,843.0926315789474,11.6,Usage is within normal expected range compared to peers.
B0176,6.4487494,3.3973501,Huge,Commercial,Dense Urban,2094.31,Daytime Peak,9,3,False,2410.923448275862,13.7,Usage is within normal expected range compared to peers.
B0177,6.4585697,3.3536147,Huge,Industrial,Dense Urban,5071.57,Constant Heavy,15,2,False,4032.0216666666665,12.5,Usage is within normal expected range compared to peers.
B0178,6.4431143,3.3782923,Huge,Residential,Slum,95.02,Morning/Evening Peak,30,5,True,843.0926315789474,100.0,Suspiciously low usage. More than 2 std devs below average (843.1 kWh) for Huge Residential buildings.
B0179,6.5663603,3.3246262,Large,Commercial,Slum,1158.28,Daytime Peak,24,6,False,1013.3372222222222,18.4,Usage is within normal expected range compared to peers.
B0180,6.49473,3.388078,Small,Industrial,Commercial District,290.25,Constant Heavy,1,2,False,255.02166666666668,11.8,Usage is within normal expected range compared to peers.
B0181,6.4493077,3.3979241,Small,Residential,Commercial District,55.63,Morning/Evening Peak,2,2,False,47.352999999999994,8.7,Usage is within normal expected range compared to peers.
B0182,6.5918098,3.393213,Medium,Commercial,Slum,384.89,Daytime Peak,22,12,False,366.41720000000004,21.4,Usage is within normal expected range compared to peers.
B0183,6.4224836,3.407675,Medium,Commercial,Dense Urban,348.56,Daytime Peak,6,6,False,366.41720000000004,14.1,Usage is within normal expected range compared to peers.
B0184,6.4646764,3.3026137,Medium,Industrial,Slum,788.39,Constant Heavy,24,6,False,718.9705,21.2,Usage is within normal expected range compared to peers.
B0185,6.4450016,3.3756745,Large,Industrial,Commercial District,1753.62,Constant Heavy,3,1,False,1901.3005555555558,8.3,Usage is within normal expected range compared to peers.
B0186,6.4816108,3.3518357,Huge,Residential,Commercial District,893.64,Constant,4,1,False,843.0926315789474,14.1,Usage is within normal expected range compared to peers.
B0187,6.4315543,3.3394081,Huge,Industrial,Suburb,5487.18,Constant Heavy,5,2,False,4032.0216666666665,8.3,Usage is within normal expected range compared to peers.
B0188,6.4342706,3.4698636,Medium,Industrial,Commercial District,733.57,Constant Heavy,1,3,False,718.9705,10.0,Usage is within normal expected range compared to peers.
B0189,6.4910459,3.3863765,Huge,Residential,Suburb,838.33,Morning/Evening Peak,9,3,False,843.0926315789474,7.0,Usage is within normal expected range compared to peers.
B0190,6.5921061,3.3932214,Huge,Commercial,Slum,2885.67,Daytime Peak,19,10,False,2410.923448275862,17.3,Usage is within normal expected range compared to peers.
B0191,6.4512825,3.3945076,Large,Commercial,Commercial District,817.33,Daytime Peak,1,2,False,1013.3372222222222,50.4,Noticeably below average (1013.3 kWh) for Large Commercial buildings.
B0192,6.5733464,3.3364838,Medium,Industrial,Slum,771.07,Constant Heavy,16,11,False,718.9705,24.3,Usage is within normal expected range compared to peers.
B0193,6.4436242,3.3771476,Medium,Residential,Commercial District,134.35,Constant,5,3,False,143.5676,10.8,Usage is within normal expected range compared to peers.
B0194,6.4909519,3.3861714,Large,Industrial,Suburb,2142.75,Constant Heavy,3,3,False,1901.3005555555558,13.5,Usage is within normal expected range compared to peers.
B0195,6.423263,3.4083572,Small,Industrial,Dense Urban,281.96,Constant Heavy,14,2,False,255.02166666666668,7.3,Usage is within normal expected range compared to peers.
B0196,6.4490351,3.3945574,Huge,Commercial,Commercial District,2931.33,Constant,4,3,False,2410.923448275862,14.7,Usage is within normal expected range compared to peers.
B0197,6.4918608,3.3860319,Medium,Residential,Slum,120.29,Morning/Evening Peak,27,6,False,143.5676,59.2,Noticeably below average (143.6 kWh) for Medium Residential buildings.
B0198,6.4449288,3.3763124,Medium,Residential,Suburb,162.04,Morning/Evening Peak,4,5,False,143.5676,10.9,Usage is within normal expected range compared to peers.
B0199,6.4340537,3.4698658,Medium,Residential,Suburb,136.58,Morning/Evening Peak,9,3,False,143.5676,12.2,Usage is within normal expected range compared to peers.
B0200,6.4516266,3.3974405,Medium,Commercial,Dense Urban,330.92,Constant,7,2,False,366.41720000000004,13.5,Usage is within normal expected range compared to peers.
B0201,6.4337793,3.4698619,Large,Industrial,Suburb,2001.43,Constant Heavy,3,5,False,1901.3005555555558,8.7,Usage is within normal expected range compared to peers.
B0202,6.428171,3.4291203,Large,Residential,Slum,442.46,Morning/Evening Peak,21,12,False,412.80782608695654,23.4,Usage is within normal expected range compared to peers.
B0203,6.4513344,3.3961344,Large,Commercial,Slum,994.74,Daytime Peak,29,7,False,1013.3372222222222,19.8,Usage is within normal expected range compared to peers.
B0204,6.4348609,3.4081784,Large,Industrial,Slum,2260.51,Constant Heavy,20,11,False,1901.3005555555558,21.7,Usage is within normal expected range compared to peers.
B0205,6.4246366,3.4111866,Small,Commercial,Suburb,112.64,Daytime Peak,7,2,False,108.35470588235295,15.0,Usage is within normal expected range compared to peers.
B0206,6.4248458,3.4110011,Medium,Commercial,Commercial District,425.43,Daytime Peak,5,1,False,366.41720000000004,11.1,Usage is within normal expected range compared to peers.
B0207,6.4251241,3.3361101,Large,Industrial,Slum,1611.82,Constant Heavy,25,4,False,1901.3005555555558,21.3,Usage is within normal expected range compared to peers.
B0208,6.4243203,3.3376326,Huge,Commercial,Slum,2405.6,Daytime Peak,19,5,False,2410.923448275862,20.3,Usage is within normal expected range compared to peers.
B0209,6.4963772,3.3849859,Medium,Residential,Dense Urban,130.95,Morning/Evening Peak,14,3,False,143.5676,6.0,Usage is within normal expected range compared to peers.
B0210,6.4902973,3.3857253,Small,Residential,Commercial District,46.76,Morning/Evening Peak,3,3,False,47.352999999999994,14.0,Usage is within normal expected range compared to peers.
B0211,6.5926614,3.3937415,Medium,Residential,Dense Urban,143.81,Constant,8,2,False,143.5676,13.0,Usage is within normal expected range compared to peers.
B0212,6.4440719,3.3763047,Huge,Commercial,Dense Urban,2067.86,Daytime Peak,11,3,False,2410.923448275862,12.9,Usage is within normal expected range compared to peers.
B0213,6.4261109,3.332412,Large,Commercial,Commercial District,882.2,Constant,1,3,False,1013.3372222222222,47.8,Noticeably below average (1013.3 kWh) for Large Commercial buildings.
B0214,6.4360182,3.408085,Huge,Commercial,Slum,2406.02,Daytime Peak,20,7,False,2410.923448275862,17.4,Usage is within normal expected range compared to peers.
B0215,6.5920467,3.3933446,Medium,Commercial,Commercial District,337.33,Daytime Peak,1,2,False,366.41720000000004,7.6,Usage is within normal expected range compared to peers.
B0216,6.4917255,3.3857313,Small,Commercial,Slum,103.07,Daytime Peak,22,5,False,108.35470588235295,24.3,Usage is within normal expected range compared to peers.
B0217,6.4513675,3.3974404,Medium,Residential,Suburb,123.17,Morning/Evening Peak,6,2,False,143.5676,52.4,Noticeably below average (143.6 kWh) for Medium Residential buildings.
B0218,6.5907761,3.3929944,Huge,Industrial,Slum,4207.46,Constant Heavy,23,6,False,4032.0216666666665,22.8,Usage is within normal expected range compared to peers.
B0219,6.4686745,3.3702187,Large,Residential,Suburb,442.95,Constant,4,4,False,412.80782608695654,13.6,Usage is within normal expected range compared to peers.
B0220,6.4679981,3.3689784,Huge,Industrial,Slum,4234.21,Constant Heavy,26,8,False,4032.0216666666665,21.5,Usage is within normal expected range compared to peers.
B0221,6.4912699,3.3867407,Large,Industrial,Suburb,1710.47,Constant Heavy,3,3,False,1901.3005555555558,12.6,Usage is within normal expected range compared to peers.
B0222,6.4451069,3.3762436,Small,Commercial,Commercial District,126.25,Constant,3,2,False,108.35470588235295,14.1,Usage is within normal expected range compared to peers.
B0223,6.4471793,3.3976697,Medium,Residential,Slum,160.39,Morning/Evening Peak,26,4,False,143.5676,24.5,Usage is within normal expected range compared to peers.
B0224,6.4438174,3.3767727,Small,Residential,Dense Urban,42.72,Constant,15,3,False,47.352999999999994,11.1,Usage is within normal expected range compared to peers.
B0225,6.4502004,3.3946053,Huge,Residential,Commercial District,1011.04,Morning/Evening Peak,5,3,False,843.0926315789474,5.5,Usage is within normal expected range compared to peers.
B0226,6.4452433,3.3761928,Small,Residential,Commercial District,55.38,Morning/Evening Peak,3,2,False,47.352999999999994,7.5,Usage is within normal expected range compared to peers.
B0227,6.4453793,3.3761433,Small,Commercial,Suburb,102.1,Constant,10,5,False,108.35470588235295,11.2,Usage is within normal expected range compared to peers.
B0228,6.4332946,3.4693816,Small,Residential,Dense Urban,42.77,Morning/Evening Peak,9,6,False,47.352999999999994,7.7,Usage is within normal expected range compared to peers.
B0229,6.4681023,3.3803262,Large,Residential,Slum,397.07,Morning/Evening Peak,19,9,False,412.80782608695654,20.4,Usage is within normal expected range compared to peers.
B0230,6.4807178,3.361,Small,Commercial,Dense Urban,126.23,Daytime Peak,13,6,False,108.35470588235295,14.3,Usage is within normal expected range compared to peers.
B0231,6.4540123,3.3852811,Small,Commercial,Suburb,103.47,Constant,8,5,False,108.35470588235295,10.4,Usage is within normal expected range compared to peers.
B0232,6.431313,3.3887539,Large,Industrial,Suburb,2102.73,Constant Heavy,2,4,False,1901.3005555555558,10.7,Usage is within normal expected range compared to peers.
B0233,6.4342875,3.4187166,Small,Industrial,Suburb,273.48,Constant Heavy,4,4,False,255.02166666666668,13.3,Usage is within normal expected range compared to peers.
B0234,6.4913336,3.3876736,Medium,Residential,Suburb,142.24,Morning/Evening Peak,2,5,False,143.5676,8.7,Usage is within normal expected range compared to peers.
B0235,6.4512419,3.3977261,Huge,Commercial,Commercial District,2204.91,Daytime Peak,2,1,False,2410.923448275862,14.4,Usage is within normal expected range compared to peers.
B0236,6.4447787,3.3768784,Small,Commercial,Dense Urban,120.73,Daytime Peak,14,3,False,108.35470588235295,10.1,Usage is within normal expected range compared to peers.
B0237,6.4955541,3.3890231,Small,Industrial,Commercial District,278.4,Constant Heavy,3,3,False,255.02166666666668,13.6,Usage is within normal expected range compared to peers.
B0238,6.591519,3.3929374,Medium,Residential,Suburb,148.6,Constant,5,5,False,143.5676,6.4,Usage is within normal expected range compared to peers.
B0239,6.4234712,3.4085376,Huge,Commercial,Dense Urban,2659.3,Daytime Peak,14,2,False,2410.923448275862,9.8,Usage is within normal expected range compared to peers.
B0240,6.5663585,3.3243243,Huge,Industrial,Slum,5212.32,Constant Heavy,30,4,False,4032.0216666666665,23.8,Usage is within normal expected range compared to peers.
B0241,6.4231059,3.4266335,Large,Residential,Commercial District,391.71,Morning/Evening Peak,3,1,False,412.80782608695654,9.0,Usage is within normal expected range compared to peers.
B0242,6.4513505,3.3988778,Large,Residential,Slum,348.83,Morning/Evening Peak,27,9,False,412.80782608695654,61.2,Noticeably below average (412.8 kWh) for Large Residential buildings.
B0243,6.4450916,3.3757274,Huge,Commercial,Slum,2314.14,Constant,26,8,False,2410.923448275862,18.6,Usage is within normal expected range compared to peers.
B0244,6.451776,3.3987739,Huge,Residential,Commercial District,907.73,Constant,1,2,False,843.0926315789474,11.3,Usage is within normal expected range compared to peers.
B0245,6.4336502,3.4203937,Medium,Industrial,Suburb,838.74,Constant Heavy,5,3,False,718.9705,10.5,Usage is within normal expected range compared to peers.
B0246,6.4411312,3.3845685,Large,Industrial,Dense Urban,2334.3,Constant Heavy,10,6,False,1901.3005555555558,7.1,Usage is within normal expected range compared to peers.
B0247,6.4706005,3.3657512,Medium,Commercial,Commercial District,357.65,Daytime Peak,2,3,False,366.41720000000004,7.5,Usage is within normal expected range compared to peers.
B0248,6.5924713,3.3937573,Huge,Commercial,Dense Urban,430.27,Daytime Peak,10,2,True,2410.923448275862,89.2,Suspiciously low usage. More than 2 std devs below average (2410.9 kWh) for Huge Commercial buildings.
B0249,6.4449902,3.376542,Huge,Residential,Suburb,925.52,Morning/Evening Peak,2,4,False,843.0926315789474,8.6,Usage is within normal expected range compared to peers.
